,account_id,district_name,open_date,statement_frequency,num_customers,credit_cards,loan,loan_amount,loan_payments,loan_term,loan_status,loan_default,max_withdrawal,min_withdrawal,cc_payments,max_balance,min_balance
0,1,Pisek,1995-03-24,monthly,1,0,F,,,,,,7500,15,,30415,1000
1,343,Pisek,1994-04-26,monthly,1,0,F,,,,,,5400,15,,32201,900
2,413,Pisek,1996-07-09,monthly,1,0,F,,,,,,16800,15,,30344,200
3,431,Pisek,1996-11-05,monthly,1,1,F,,,,,,19100,15,2.0,66753,300
4,568,Pisek,1995-03-28,monthly,1,0,F,,,,,,28300,15,,65405,200
5,945,Pisek,1996-08-16,monthly,1,1,F,,,,,,21700,15,6.0,96014,600
6,970,Pisek,1997-07-20,monthly,1,1,F,,,,,,15100,15,6.0,77766,400
7,1049,Pisek,1997-12-04,monthly,1,0,F,,,,,,5200,15,,36081,500
8,1149,Pisek,1995-09-07,monthly,1,1,F,,,,,,26000,15,6.0,75460,200
9,1171,Pisek,1997-12-20,monthly,2,0,F,,,,,,17920,15,,62717,800
10,1171,Pisek,1997-12-20,monthly,2,0,F,,,,,,17920,15,,62717,800
11,1301,Pisek,1994-09-15,monthly,1,0,F,,,,,,30800,15,,68620,600
12,1552,Pisek,1994-01-02,monthly,1,1,F,,,,,,29700,15,9.0,97543,500
13,1733,Pisek,1996-04-20,monthly,1,0,F,,,,,,61900,15,,130294,900
14,1765,Pisek,1996-07-21,monthly,2,0,F,,,,,,7000,15,,25747,400
15,1765,Pisek,1996-07-21,monthly,2,0,F,,,,,,7000,15,,25747,400
16,1796,Pisek,1995-10-14,monthly,1,0,F,,,,,,21800,15,,71490,400
17,1919,Pisek,1994-12-04,monthly,1,1,F,,,,,,60800,15,28.0,133745,800
18,2076,Pisek,1996-09-17,monthly,2,0,F,,,,,,8700,15,,30250,800
19,2076,Pisek,1996-09-17,monthly,2,0,F,,,,,,8700,15,,30250,800
20,2174,Pisek,1997-10-24,monthly,2,0,F,,,,,,32000,15,,85841,400
21,2174,Pisek,1997-10-24,monthly,2,0,F,,,,,,32000,15,,85841,400
22,2309,Pisek,1995-12-03,monthly,2,0,F,,,,,,14500,15,,57453,600
23,2309,Pisek,1995-12-03,monthly,2,0,F,,,,,,14500,15,,57453,600
24,2350,Pisek,1996-08-04,monthly,1,1,T,159744.0,3328.0,48.0,current,F,50700,15,,115356,600
25,2402,Pisek,1997-11-06,monthly,1,0,F,,,,,,8750,15,,46475,1000
26,2421,Pisek,1995-01-11,monthly,2,1,F,,,,,,4920,15,1.0,51847,900
27,2421,Pisek,1995-01-11,monthly,2,1,F,,,,,,4920,15,1.0,51847,900
28,2479,Pisek,1993-10-09,monthly,1,0,F,,,,,,9600,15,,35879,1100
29,2520,Pisek,1995-07-25,monthly,1,0,F,,,,,,8640,15,,31566,400
30,2636,Pisek,1996-11-26,monthly,1,0,F,,,,,,3600,15,,25010,600
31,2726,Pisek,1995-04-20,monthly,1,1,F,,,,,,30900,15,8.0,114178,200
32,2812,Pisek,1996-07-05,monthly,1,0,F,,,,,,34000,15,,70847,200
33,2987,Pisek,1993-09-16,monthly,1,0,F,,,,,,31200,15,,83115,700
34,3003,Pisek,1993-11-27,monthly,1,1,F,,,,,,26700,15,5.0,115903,500
35,3079,Pisek,1996-02-26,monthly,1,0,F,,,,,,7650,15,,24125,1000
36,3088,Pisek,1996-03-08,monthly,2,1,F,,,,,,37440,15,13.0,71278,600
37,3088,Pisek,1996-03-08,monthly,2,1,F,,,,,,37440,15,13.0,71278,600
38,3109,Pisek,1995-04-08,monthly,1,0,F,,,,,,42000,0,,66840,-6285
39,3167,Pisek,1994-08-08,monthly,1,1,F,,,,,,28600,15,22.0,100113,200
40,3192,Pisek,1996-07-28,monthly,2,1,F,,,,,,13920,15,1.0,63544,400
41,3192,Pisek,1996-07-28,monthly,2,1,F,,,,,,13920,15,1.0,63544,400
42,3287,Pisek,1993-07-26,monthly,1,0,F,,,,,,26500,15,,78193,900
43,3540,Pisek,1997-01-03,monthly,1,0,F,,,,,,5600,15,,44073,600
44,3559,Pisek,1995-12-30,monthly,1,1,F,,,,,,21100,15,12.0,67928,600
45,3602,Pisek,1996-12-03,monthly,1,1,F,,,,,,56600,15,7.0,161020,600
46,3633,Pisek,1997-02-06,monthly,1,1,F,,,,,,22300,15,1.0,59987,200
47,3821,Pisek,1996-04-18,monthly,1,0,F,,,,,,33700,15,,68169,500
48,3904,Pisek,1996-10-05,monthly,1,0,F,,,,,,2075,15,,23377,600
49,3921,Pisek,1994-07-17,monthly,1,0,F,,,,,,60900,15,,142681,800
50,4237,Pisek,1993-11-29,monthly,2,0,F,,,,,,62500,15,,146486,600
51,4237,Pisek,1993-11-29,monthly,2,0,F,,,,,,62500,15,,146486,600
52,9156,Pisek,1997-09-14,monthly,1,0,T,163332.0,4537.0,36.0,current,F,28700,15,,69554,600
53,1632,Pisek,1996-01-13,weekly,1,0,F,,,,,,64400,30,,143816,1000
54,10973,Pisek,1993-04-20,weekly,1,0,T,154416.0,3217.0,48.0,expired,F,63800,30,,175711,7729
